Index,Country,Region,CC,Mammals,Birds,Reptiles,Amphibians,Fish,Molluscs,Other_Inverts,RL_Total,T_EX,T_EW,T_CR,T_EN,T_VU,T_NT,T_DD,T_LC,T_SP,M_ED,M_TH_ED,M_EX,M_EW,M_CR,M_EN,M_VU,M_NT,M_LC,M_DD,M_SP,A_ED,A_TH_ED,A_EX,A_EW,A_CR,A_EN,A_VU,A_NT,A_LC,A_DD,A_SP
112,Western Sahara,North Africa,ESH,10,3,1,0,31,0,3,48,0,1,4,13,31,33,109,843,1034,0,0,0,1,2,5,4,2,36,12,62,0,0,0,0,0,0,0,1,4,0,5
113,N/A,Sub-Saharan Africa,N/A,936,915,447,402,2075,305,1488,6568,137,9,895,1758,3915,3810,6207,78188,94919,405,152,7,8,68,244,415,405,7085,714,8946,623,214,0,0,35,144,140,113,2111,257,2800
114,Angola,Sub-Saharan Africa,AGO,17,26,5,0,51,5,4,108,0,0,10,32,66,59,228,2395,2790,9,0,0,0,2,5,7,11,240,20,285,21,0,0,0,0,0,0,0,77,22,99
115,Benin,Sub-Saharan Africa,BEN,13,10,6,0,38,0,3,70,0,0,8,16,46,44,113,1601,1828,0,0,0,0,0,3,7,6,129,12,157,0,0,0,0,0,0,0,0,21,0,21
116,Botswana,Sub-Saharan Africa,BWA,9,13,0,0,2,0,0,24,0,0,4,5,15,30,11,995,1060,0,0,0,0,1,1,4,7,143,1,157,0,0,0,0,0,0,0,0,42,0,42
117,Burkina Faso,Sub-Saharan Africa,BFA,10,11,3,0,4,1,0,29,0,1,5,6,18,21,3,762,816,0,0,0,1,0,2,6,5,112,2,128,0,0,0,0,0,0,0,0,21,0,21
118,Burundi,Sub-Saharan Africa,BDI,14,13,0,1,17,4,3,52,0,0,5,15,32,40,35,1040,1167,0,0,0,0,0,2,7,9,117,1,136,2,0,0,0,0,0,6,1,16,3,26
119,Cameroon,Sub-Saharan Africa,CMR,44,26,12,56,119,11,16,284,0,0,51,108,125,82,219,2543,3128,16,14,0,0,4,16,21,10,251,33,335,58,38,0,0,7,31,15,10,122,14,199
120,Cape Verde,Sub-Saharan Africa,CPV,4,5,6,0,34,12,1,62,1,0,5,21,36,30,102,840,1035,0,0,0,0,0,2,1,0,11,11,25,0,0,0,0,0,0,0,0,0,0,?
121,Central African Republic,Sub-Saharan Africa,CAF,14,14,4,0,3,0,0,35,0,0,8,5,22,24,48,1348,1455,2,0,0,0,1,2,4,10,190,12,219,2,0,0,0,0,0,0,0,59,3,62
122,Chad,Sub-Saharan Africa,TCD,14,13,4,0,1,4,0,36,0,1,11,5,20,20,12,810,879,0,0,0,1,3,2,7,5,103,2,123,4,0,0,0,0,0,0,0,13,4,17
123,Comoros,Sub-Saharan Africa,COM,5,10,5,0,9,0,73,102,0,0,7,16,79,110,83,869,1164,4,2,0,0,0,2,3,1,11,10,27,0,0,0,0,0,0,0,0,0,0,?
124,Congo,Sub-Saharan Africa,COG,17,5,4,0,55,5,2,88,0,0,8,19,61,41,159,1911,2199,3,0,0,0,2,3,6,8,159,19,197,0,0,0,0,0,0,0,0,57,2,59
125,Congo (Democratic Republic),Sub-Saharan Africa,COD,36,37,7,10,93,43,10,236,0,0,29,70,137,89,439,3467,4231,26,4,0,0,3,11,15,20,336,45,430,54,4,0,0,0,3,10,2,150,50,215
126,Cote d'Ivoire,Sub-Saharan Africa,CIV,30,20,7,14,57,3,3,134,0,0,14,34,86,101,153,1975,2363,1,1,0,0,1,8,15,15,187,26,252,6,4,0,0,2,5,6,16,56,5,90
127,Djibouti,Sub-Saharan Africa,DJI,8,11,1,0,18,1,56,95,0,0,4,12,79,130,98,964,1287,0,0,0,0,0,2,6,7,58,12,85,0,0,0,0,0,0,0,0,6,0,6
128,Equatorial Guinea,Sub-Saharan Africa,GNQ,24,7,7,5,42,0,5,90,0,0,9,29,52,39,123,1545,1797,3,3,0,0,3,7,8,7,139,10,174,1,0,0,0,0,4,0,1,64,1,70
129,Eritrea,Sub-Saharan Africa,ERI,11,18,6,0,23,1,57,116,0,0,9,14,93,142,103,1197,1558,0,0,0,0,1,2,6,3,87,5,104,1,0,0,0,0,0,0,0,16,1,17
130,Ethiopia,Sub-Saharan Africa,ETH,33,32,2,12,14,4,11,108,0,0,18,33,57,41,63,1322,1534,33,18,0,0,3,12,16,12,214,14,271,26,9,0,0,0,4,5,2,44,8,63
